GEOID,NAME,District,County,Enrollment,prcnt_enrolled_lunch,Count_providers_253min_mean,Count_providers_253min_median,Count_providers_253min_majority,Lunch_Class,Prov_Class,Bi_Class,Color
2802100,Itawamba County School District,Itawamba County School District,Itawamba County,3468,67,2.260586319,2,2,2,C,C2,F3B8DE
2802160,Jackson County School District,Jackson County School District,Jackson County,9204,58,3.329581994,3,5,1,B,B1,BAE08A
2803480,Pascagoula-Gautier School District,Pascagoula-Gautier School District,Jackson County,6787,81,3.339098209,3,2,2,B,B2,A78981
2802190,Jackson Public School District,Jackson Public School District,Hinds County,22510,100,3.831880734,4,5,3,A,A3,8D6158
2802220,Jefferson County School District,Jefferson County School District,Jefferson County,1102,99,2.123569794,2,2,3,C,C3,D23C8B
2802280,Jones County School District,Jones County School District,Jones County,8837,69,2.694480103,2,2,2,C,C2,F3B8DE
2802340,Kosciusko School District,Kosciusko School District,Attala County,2292,72,3.079722704,2,2,2,C,C2,F3B8DE
2802370,Lafayette County School District,Lafayette County School District,Lafayette County,2912,56,2.47148289,2,2,1,C,C1,F7F7F7
2802400,Lamar County School District,Lamar County School District,Lamar County,10718,53,3.115566038,3,2,1,B,B1,BAE08A
2802700,Louisville Municipal School District,Louisville Municipal School District,Winston County,2728,90,2.481872116,2,2,3,C,C3,D23C8B
2802430,Lauderdale County School District,Lauderdale County School District,Lauderdale County,413,57,2.365691489,2,2,1,C,C1,F7F7F7
2802460,Laurel School District,Laurel School District,Jones County,3091,100,3.062992126,3,3,3,B,B3,AE4072
2802490,Lawrence County School District,Lawrence County School District,Lawrence County,2027,79,2.109263658,2,2,2,C,C2,F3B8DE
2802520,Leake County School District,Leake County School District,Leake County,2775,91,2.374015748,2,2,3,C,C3,D23C8B
2802550,Lee County School District,Lee County School District,Lee County,6720,63,2.680400235,2,2,2,C,C2,F3B8DE
2802580,Leflore County School District,,,,100,2.148921118,2,2,3,C,C3,D23C8B
2803830,Rankin County School District,Rankin County School District,Rankin County,1722,43,3.27293578,3,2,1,B,B1,BAE08A
